site_key,site_name,lat,lon
MAHIA PENINSULA LAUNCH COMPLEX NEW ZEALAND,MAHIA PENINSULA LAUNCH COMPLEX NEW ZEALAND,-39.261,177.865
WOOMERA TEST RANGE SOUTH AUSTRALIA,WOOMERA TEST RANGE SOUTH AUSTRALIA,-31.15,136.82
SAN MARCO PLATFORM MALINDI KENYA,SAN MARCO PLATFORM MALINDI KENYA,-2.937,40.212
ALCANTARA LAUNCH CENTER BRAZIL,ALCANTARA LAUNCH CENTER BRAZIL,-2.3364,-44.3979
KIRITIMATI LAUNCH AREA KIRIBATI,KIRITIMATI LAUNCH AREA KIRIBATI,1.872,-157.427
GUIANA SPACE CENTRE FRENCH GUIANA,GUIANA SPACE CENTRE FRENCH GUIANA,5.2124,-52.7739
RONALD REAGAN BALLISTIC MISSILE DEFENSE TEST SITE MARSHALL ISLANDS,RONALD REAGAN BALLISTIC MISSILE DEFENSE TEST SITE MARSHALL ISLANDS,8.7251,167.7377
SATISH DHAWAN SPACE CENTRE INDIA,SATISH DHAWAN SPACE CENTRE INDIA,13.6281,80.2256
WENCHANG SPACE LAUNCH SITE HAINAN CHINA,WENCHANG SPACE LAUNCH SITE HAINAN CHINA,19.6286,110.9601
KAUAI PACIFIC MISSILE RANGE FACILITY,KAUAI PACIFIC MISSILE RANGE FACILITY,22.026,-159.7846
STARBASE TEXAS,STARBASE TEXAS,25.9915,-97.183
WEST TEXAS TEXAS,WEST TEXAS TEXAS,26.1717,-98.1628
GANDO AIRBASE CANARY ISLANDS SPAIN,GANDO AIRBASE CANARY ISLANDS SPAIN,27.94,-15.39
XICHANG SATELLITE LAUNCH CENTER CHINA,XICHANG SATELLITE LAUNCH CENTER CHINA,28.2458,102.0279
CAPE CANAVERAL SFS FLORIDA,CAPE CANAVERAL SFS FLORIDA,28.4665,-80.5632
CAPE CANAVERAL SPACE FORCE STATION FLORIDA,CAPE CANAVERAL SPACE FORCE STATION FLORIDA,28.4897,-80.5648
KENNEDY SPACE CENTER FLORIDA,KENNEDY SPACE CENTER FLORIDA,28.5243,-80.6819
TANEGASHIMA SPACE CENTER JAPAN,TANEGASHIMA SPACE CENTER JAPAN,30.3943,130.9578
HAMMAGUIR ALGERIA,HAMMAGUIR ALGERIA,30.8794,-3.0672
UCHINOURA SPACE CENTER JAPAN,UCHINOURA SPACE CENTER JAPAN,31.2541,131.0796
TX USA,TX USA,31.2639,-98.5456
PALMACHIM AIRBASE ISRAEL,PALMACHIM AIRBASE ISRAEL,31.885,34.685
BOCA CHICA TEXAS,BOCA CHICA TEXAS,32.2179,-96.037
SPACEPORT AMERICA NEW MEXICO,SPACEPORT AMERICA NEW MEXICO,32.2705,-106.743
NAVAL AIR STATION POINT MUGU CALIFORNIA,NAVAL AIR STATION POINT MUGU CALIFORNIA,34.1142,-119.118
NARO SPACE CENTER SOUTH KOREA,NARO SPACE CENTER SOUTH KOREA,34.4381,127.5256
VANDENBERG SPACE FORCE BASE USA,VANDENBERG SPACE FORCE BASE USA,34.7088,-120.5447
VANDENBERG AFB CALIFORNIA,VANDENBERG AFB CALIFORNIA,34.7519,-120.5343
EDWARDS AFB CALIFORNIA,EDWARDS AFB CALIFORNIA,34.9119,-117.8832
CHINA,CHINA,35.0001,104.9999
MOJAVE AIR AND SPACE PORT CALIFORNIA,MOJAVE AIR AND SPACE PORT CALIFORNIA,35.059,-118.153
SEMNAN SPACE CENTER IRAN,SEMNAN SPACE CENTER IRAN,35.2215,53.8971
YELLOW SEA,YELLOW SEA,36,124
SHAHRUD MISSILE TEST SITE IRAN,SHAHRUD MISSILE TEST SITE IRAN,36.35,55
JAPAN,JAPAN,36.5748,139.2394
WALLOPS FLIGHT FACILITY VIRGINIA,WALLOPS FLIGHT FACILITY VIRGINIA,37.9352,-75.4697
TAIYUAN LAUNCH CENTER SHANXI CHINA,TAIYUAN LAUNCH CENTER SHANXI CHINA,38.849,111.608
SOHAE SATELLITE LAUNCHING STATION NORTH KOREA,SOHAE SATELLITE LAUNCHING STATION NORTH KOREA,39.661,124.6992
TONGHAE SATELLITE LAUNCHING GROUND NORTH KOREA,TONGHAE SATELLITE LAUNCHING GROUND NORTH KOREA,40.8563,129.6612
JIUQUAN SATELLITE LAUNCH CENTER CHINA,JIUQUAN SATELLITE LAUNCH CENTER CHINA,40.965,100.2838
BAIKONUR COSMODROME KAZAKHSTAN,BAIKONUR COSMODROME KAZAKHSTAN,45.9179,63.4084
KAPUSTIN YAR RUSSIA,KAPUSTIN YAR RUSSIA,48.5756,45.7669
YASNY LAUNCH BASE RUSSIA,YASNY LAUNCH BASE RUSSIA,51.038,59.878
VOSTOCHNY COSMODROME RUSSIA,VOSTOCHNY COSMODROME RUSSIA,51.8532,128.3451
PACIFIC SPACEPORT COMPLEX ALASKA,PACIFIC SPACEPORT COMPLEX ALASKA,57.443,-152.3653
PLESETSK COSMODROME RUSSIA,PLESETSK COSMODROME RUSSIA,62.9311,40.5315
RUSSIA,RUSSIA,64.6863,97.7453
BARENTS SEA LAUNCH AREA RUSSIA,BARENTS SEA LAUNCH AREA RUSSIA,73,35
