launch_id,dt_min,year,site_raw,pad_raw,vehicle,agency,lv_state,launch_code,success,n_payload_rows,success_hard
1957-10-04 19:28 | niip-5 | lc1 | sputnik 8k71ps | m1-ps,1957-10-04T19:28:00Z,1957,NIIP-5,LC1,Sputnik 8K71PS,MVS,SU,OS,TRUE,1,TRUE
1957-11-03 02:30 | niip-5 | lc1 | sputnik 8k71ps | m1-2ps,1957-11-03T02:30:00Z,1957,NIIP-5,LC1,Sputnik 8K71PS,MVS,SU,OS,TRUE,1,TRUE
1957-12-06 16:44 | cc | lc18a | vanguard | tv-3,1957-12-06T16:44:00Z,1957,CC,LC18A,Vanguard,NRL,US,OF,FALSE,1,FALSE
1958-02-01 03:47 | cc | lc26a | jupiter c | rs-29 ue,1958-02-01T03:47:00Z,1958,CC,LC26A,Jupiter C,ABMA,US,OS,TRUE,1,TRUE
1958-02-05 07:33 | cc | lc18a | vanguard | tv-3bu,1958-02-05T07:33:00Z,1958,CC,LC18A,Vanguard,NRL,US,OF,FALSE,1,FALSE
1958-03-05 18:27 | cc | lc26a | jupiter c | rs/cc-26 uv,1958-03-05T18:27:00Z,1958,CC,LC26A,Jupiter C,ABMA,US,OF,FALSE,1,FALSE
1958-03-17 12:15 | cc | lc18a | vanguard | tv-4,1958-03-17T12:15:00Z,1958,CC,LC18A,Vanguard,NRL,US,OS,TRUE,1,TRUE
1958-03-26 17:38 | cc | lc5 | jupiter c | rs-24 ut,1958-03-26T17:38:00Z,1958,CC,LC5,Jupiter C,ABMA,US,OS,TRUE,1,TRUE
1958-04-27 09:01 | niip-5 | lc1 | sputnik 8a91 | b1-2,1958-04-27T09:01:00Z,1958,NIIP-5,LC1,Sputnik 8A91,MVS,SU,OF,FALSE,1,FALSE
1958-04-29 02:53 | cc | lc18a | vanguard | tv-5,1958-04-29T02:53:00Z,1958,CC,LC18A,Vanguard,NRL,US,OF,FALSE,1,FALSE
1958-05-15 07:00 | niip-5 | lc1 | sputnik 8a91 | b1-1,1958-05-15T07:00:00Z,1958,NIIP-5,LC1,Sputnik 8A91,MVS,SU,OS,TRUE,1,TRUE
1958-05-28 03:46 | cc | lc18a | vanguard | slv-1,1958-05-28T03:46:00Z,1958,CC,LC18A,Vanguard,NRL,US,OF,FALSE,1,FALSE
1958-06-26 05:00 | cc | lc18a | vanguard | slv-2,1958-06-26T05:00:00Z,1958,CC,LC18A,Vanguard,NRL,US,OF,FALSE,1,FALSE
1958-07-25 00:00 | nots | rw03/21? | nots ev1 | 1,1958-07-25T00:00:00Z,1958,NOTS,RW03/21?,NOTS EV1,NOTS,US,OF,FALSE,1,FALSE
1958-07-26 15:00 | cc | lc5 | jupiter c | rs/cc-44 tt,1958-07-26T15:00:00Z,1958,CC,LC5,Jupiter C,ABMA,US,OS,TRUE,1,TRUE
1958-08-12 00:00 | nots | rw03/21? | nots ev1 | 2,1958-08-12T00:00:00Z,1958,NOTS,RW03/21?,NOTS EV1,NOTS,US,OF,FALSE,1,FALSE
1958-08-17 12:18 | cc | lc17a | thor able i | 127,1958-08-17T12:18:00Z,1958,CC,LC17A,Thor Able I,AFBMD,US,OF,FALSE,1,FALSE
1958-08-22 00:00 | nots | rw03/21? | nots ev1 | 3,1958-08-22T00:00:00Z,1958,NOTS,RW03/21?,NOTS EV1,NOTS,US,OF,FALSE,1,FALSE
1958-08-24 06:17 | cc | lc5 | jupiter c | rs/cc-47 hn,1958-08-24T06:17:00Z,1958,CC,LC5,Jupiter C,ABMA,US,OF,FALSE,1,FALSE
1958-08-25 00:00 | nots | rw03/21? | nots ev1 | 4,1958-08-25T00:00:00Z,1958,NOTS,RW03/21?,NOTS EV1,NOTS,US,OF,FALSE,1,FALSE
1958-08-26 00:00 | nots | rw03/21? | nots ev1 | 5,1958-08-26T00:00:00Z,1958,NOTS,RW03/21?,NOTS EV1,NOTS,US,OF,FALSE,1,FALSE
1958-08-28 00:00 | nots | rw03/21? | nots ev1 | 6,1958-08-28T00:00:00Z,1958,NOTS,RW03/21?,NOTS EV1,NOTS,US,OF,FALSE,1,FALSE
1958-09-23 07:40 | niip-5 | lc1 | vostok-l 8k72 | b1-3,1958-09-23T07:40:00Z,1958,NIIP-5,LC1,Vostok-L 8K72,MVS,SU,OF,FALSE,1,FALSE
1958-09-26 15:38 | cc | lc18a | vanguard | slv-3,1958-09-26T15:38:00Z,1958,CC,LC18A,Vanguard,NRL,US,OF,FALSE,1,FALSE
1958-10-11 08:42 | cc | lc17a | thor able i | 130,1958-10-11T08:42:00Z,1958,CC,LC17A,Thor Able I,AFBMD,US,OS75,NA,1,TRUE
1958-10-11 21:41 | niip-5 | lc1 | vostok-l 8k72 | b1-4,1958-10-11T21:41:00Z,1958,NIIP-5,LC1,Vostok-L 8K72,MVS,SU,OF,FALSE,1,FALSE
1958-10-23 03:21 | cc | lc5 | jupiter c | rs/cc-49 he,1958-10-23T03:21:00Z,1958,CC,LC5,Jupiter C,ABMA,US,OF,FALSE,1,FALSE
1958-11-08 07:30 | cc | lc17a | thor able i | 129,1958-11-08T07:30:00Z,1958,CC,LC17A,Thor Able I,AFBMD,US,OF,FALSE,1,FALSE
1958-12-04 18:18 | niip-5 | lc1 | vostok-l 8k72 | b1-5,1958-12-04T18:18:00Z,1958,NIIP-5,LC1,Vostok-L 8K72,MVS,SU,OF,FALSE,1,FALSE
1958-12-06 05:44 | cc | lc5 | juno ii | am-11,1958-12-06T05:44:00Z,1958,CC,LC5,Juno II,ABMA,US,OS,TRUE,1,TRUE
1958-12-18 23:02 | cc | lc11 | atlas b | 10b,1958-12-18T23:02:00Z,1958,CC,LC11,Atlas B,AFBMD,US,OS,TRUE,1,TRUE
1959-02-17 15:55 | cc | lc18a | vanguard | slv-4,1959-02-17T15:55:00Z,1959,CC,LC18A,Vanguard,NRL,US,OS,TRUE,1,TRUE
1959-02-28 21:49 | v | 75-3-4 | thor agena a | 163/1022,1959-02-28T21:49:00Z,1959,V,75-3-4,Thor Agena A,AFBMD,US,OF,FALSE,1,FALSE
1959-04-13 21:18 | v | 75-3-4 | thor agena a | 170/1018,1959-04-13T21:18:00Z,1959,V,75-3-4,Thor Agena A,AFBMD,US,OS,TRUE,2,TRUE
1959-04-14 02:49 | cc | lc18a | vanguard | slv-5,1959-04-14T02:49:00Z,1959,CC,LC18A,Vanguard,NRL,US,OF,FALSE,2,FALSE
1959-06-03 20:09 | v | 75-3-4 | thor agena a | 174/1020,1959-06-03T20:09:00Z,1959,V,75-3-4,Thor Agena A,AFBMD,US,OF,FALSE,2,FALSE
1959-06-18 08:08 | niip-5 | lc1 | vostok-l 8k72 | i1-7,1959-06-18T08:08:00Z,1959,NIIP-5,LC1,Vostok-L 8K72,MVS,SU,OF,FALSE,1,FALSE
1959-06-22 20:16 | cc | lc18a | vanguard | slv-6,1959-06-22T20:16:00Z,1959,CC,LC18A,Vanguard,NRL,US,OF,FALSE,1,FALSE
1959-06-25 22:47 | v | 75-3-5 | thor agena a | 179/1023,1959-06-25T22:47:00Z,1959,V,75-3-5,Thor Agena A,AFBMD,US,OF,FALSE,2,FALSE
