alias,site_key
KII,SPACEPORT KII WAKAYAMA JAPAN
NEWQ,SPACEPORT CORNWALL NEWQUAY UK
GANC,JIUQUAN SATELLITE LAUNCH CENTER CHINA
CC,CAPE CANAVERAL SFS FLORIDA
KSC,KENNEDY SPACE CENTER FLORIDA
V,VANDENBERG SPACE FORCE BASE USA
VS,VANDENBERG SPACE FORCE BASE USA
CSG,GUIANA SPACE CENTRE FRENCH GUIANA
JQ,JIUQUAN SATELLITE LAUNCH CENTER CHINA
TYSC,TAIYUAN LAUNCH CENTER SHANXI CHINA
XSC,XICHANG SATELLITE LAUNCH CENTER CHINA
SHAR,SATISH DHAWAN SPACE CENTRE INDIA
NIIP-53,PLESETSK COSMODROME RUSSIA
GIK-1,PLESETSK COSMODROME RUSSIA
NIIP-5,BAIKONUR COSMODROME KAZAKHSTAN
GIK-5,BAIKONUR COSMODROME KAZAKHSTAN
MAHIA,MAHIA PENINSULA LAUNCH COMPLEX NEW ZEALAND
TNSC,TANEGASHIMA SPACE CENTER JAPAN
VSFBS,VANDENBERG SPACE FORCE BASE USA
VSFB,VANDENBERG SPACE FORCE BASE USA
PA,VANDENBERG SPACE FORCE BASE USA
SPFLA,CAPE CANAVERAL SFS FLORIDA
SPFL,CAPE CANAVERAL SFS FLORIDA
GTSP-4,KAPUSTIN YAR RUSSIA
GTSMP-4,KAPUSTIN YAR RUSSIA
GIK-2,KAPUSTIN YAR RUSSIA
GNIIPV,PLESETSK COSMODROME RUSSIA
GNIIP,PLESETSK COSMODROME RUSSIA
VOST,VOSTOCHNY COSMODROME RUSSIA
YAS,YASNY LAUNCH BASE RUSSIA
USC,UCHINOURA SPACE CENTER JAPAN
WEN,WENCHANG SPACE LAUNCH SITE HAINAN CHINA
HHAI,WENCHANG SPACE LAUNCH SITE HAINAN CHINA
YJ,YELLOW SEA
HCSLS,WENCHANG SPACE LAUNCH SITE HAINAN CHINA
SOHAE,SOHAE SATELLITE LAUNCHING STATION NORTH KOREA
TONGH,TONGHAE SATELLITE LAUNCHING GROUND NORTH KOREA
NARO,NARO SPACE CENTER SOUTH KOREA
JEJU,YELLOW SEA
KLA,PACIFIC SPACEPORT COMPLEX ALASKA
KLC,PACIFIC SPACEPORT COMPLEX ALASKA
PSCA,PACIFIC SPACEPORT COMPLEX ALASKA
KMR,RONALD REAGAN BALLISTIC MISSILE DEFENSE TEST SITE MARSHALL ISLANDS
MHV,MOJAVE AIR AND SPACE PORT CALIFORNIA
MARS,RONALD REAGAN BALLISTIC MISSILE DEFENSE TEST SITE MARSHALL ISLANDS
WI,RONALD REAGAN BALLISTIC MISSILE DEFENSE TEST SITE MARSHALL ISLANDS
WIMB,RONALD REAGAN BALLISTIC MISSILE DEFENSE TEST SITE MARSHALL ISLANDS
EAFB,EDWARDS AFB CALIFORNIA
KASC,KAUAI PACIFIC MISSILE RANGE FACILITY
KAU,KAUAI PACIFIC MISSILE RANGE FACILITY
STB,STARBASE TEXAS
ALCA,ALCANTARA LAUNCH CENTER BRAZIL
SMLC,SAN MARCO PLATFORM MALINDI KENYA
HMG,HAMMAGUIR ALGERIA
WOO,WOOMERA TEST RANGE SOUTH AUSTRALIA
BLA,WOOMERA TEST RANGE SOUTH AUSTRALIA
SEM,SEMNAN SPACE CENTER IRAN
SHAHR,SHAHRUD MISSILE TEST SITE IRAN
PALB,PALMACHIM AIRBASE ISRAEL
NOTS,POINT MUGU CALIFORNIA USA
